text,label
Platform Linked Open Data Life Sciences,1
Children suffering ADHD experience improvements supplementing phosphatidylserine,1
Ryan Consistent sampling methods important beach litter estimation CoastalCleanupDay,1
From Journals,0
Recomendaciones para Manejo Terapia Nutricional Adultos Diabetes,0
test developmental data done negative mutualism,2
HAHAHAHA scientists kids live cupper nanotubes,2
Thermopower Benzenedithiol Molecular Junctions Electrodes Nano Lett,0
Documenting Density Subtidal Marine Debris across Multiple Marine Coastal Habitats,0
marinedebris,0
Protein content found greater effect glycemic index weight rebound latest study,1
latest accepted papers line still manuscript version,0
Priceless abbreviation Copper Nanotubes Doubt much they energetically stable,2
Correction Unfortunate choice abbreviation Copper Nanotubes here apologise advance,2
Monitoring impact litter large vertebrates Mediterranean within MSFD,0
ARTICLE,1
acronym makes even more,2
Rotational spectroscopy Brune hydrogen singlemolecule,1
High protein diets keeping weight initial weight loss,1
CuNT Copper nanotubes,2
many funny sentences Chinese science paper abbreviates copper nanotubes English,2
Really springerlink Structural electronic properties chiral single wall copper nanotubes,2
dose phosphatidylserine improves cognitive symptoms children ADHS According,1
miss last year,0
Differential measurement error socioeconomic status,0
Electronic transport proteins,0
good acronym copper nanotubes,2
Kelp Gulls killed injured discarded monofilament lines marine recreational fishery northern Patagonia,0
Linker rectifiers efficient photocatalysis multielectron reactions electrodes,0
verbal reasoning ability study,0
best thing today,2
survey approaches ranking data,0
Ioan Baldea Electrochemical setup unique chance simultaneously control orbital energies,0
different reference foods determining glycemic index starchy starchy,0
paper really like measurements independent entities,1
marinedebris,0
health Effect glycemic index diet weight loss modulation satiety inflammation othe,0
Annual variation neustonic micro meso plastic particles zooplankton Calvi marinedebris,0
CuNTs sale CuNTs here,2
Florida marine sanctuaries lost lobster traps debris pieces ghost fishing NOAA time,1
Impedance measurements give electrical characteristics self assembled monolayer based junctions,1
NSFW scientific journal article ever published,2
myy dear difficulties finding scientific abbreviations work languages,2
Great evidence glycemic index useful tool weight management science nutrition fitness,1
Pretty sure intentional acronym,2
Knowledge accordance academy guideline disorders lipid metabolism,1
Weight Loss Glycemic Control Cardiovascular Disease Risk Factors Response Differential Diet Composition,0
Amount type derelict gear declining black pearl oyster aquaculture atoll lagoon marinedebris,0
starch dairy diet improves insulinresistance oxidation even breathing women pcos,0
Lost translation From Science China Brilliant,2
Carb intake associated metabolic syndrome Korean population Though single diet recall used,0
Lentil based diets attenuate hypertension large artery remodelling spontaneously hypertensive rats,0
Thanks informing Right link legume barley trial hope,1
dear badacronym,2
Trial high fiber carb diet weight loss high fiber better lipids,1
This need check acronyms CuNT ScienceIsGreat,2
hoax stating individualised,0
Must expose innocent chemists filth PART,0
really really check native speaker publishing foreign language,2
related note remember shared link earlier today,0
Move diets study says glycemic index diets better health,1
effects beta glucan rich bread serum nitric oxide vascular endothelial function patients with,0
Must admit specifically told going abstract,0
papers AceWiki survey CNLs,1
Abbreviation FAIL physicists note observe free standing suspended,2
together science Once scientists allowed name things ever,2
Intelligence,0
Nutrition Care Recommendations Diabetics,0
Students invent anything please name acronym past first avoid this NSFW,2
high fibre bean rich diet greater metabolic benefits carbohydrate diet,1
Measuring conductivity atom contacts,0
Effect diet weight loss modulation satiety inflammation metabolic risk factors,0
high protein diet glycemic diet prevents weight regain,1
Microplastic estuarine systems Chesapeake,0
general increase Flynn effect mostly better test taking abilities,1
Stop sniggering back,2
Setala showed potential plastic microparticle transfer lower higher trophic levels marinepollution,1
Large numbers,0
WebProtege collaborative based platform editing biomedical ontologies Summary WebProt,1
practice takes become expert,0
Cholesterol lowering effects varieties based difference composition mouse study nutrition,1
Microbes Bottle Microbial communities MarinePlastic vary season plastic type ShamelesselfPromotion,2
Well often this thankfully,2
Plastic production grows This paper shows ends deep beaches Plastic must regulated,1
Alkylresorcinols didnt improve insulin sensitivity simply marker wholegrain intake,2
High protein libitum diet improves weight loss maintenance obese adults month study,1
Charge transport monolayers Mirjani Whitesides Ratner nano,0
Brilliant dear difficulties finding scientific abbreviations work languages,2
first acronym used abstract hilariously unfortunate choice,2
cell behavior ontology describing intrinsic biological behaviors real model cells seen active,0
This research paper apparently written amusement,2
Levels fate perfluoroalkyl substances beached plasticpellets sediments collected Greece,0
unfortunate abstract,2
Based large community cohort overall relationship protein type major dietary protein sources,1
raise test scores even tests practicing testing skills lower test scores changing tests,1
Copper chemical code nanotubes remarkable acronym,2
Mantenimiento peso adultos sobrepeso obesidad mejorado dieta alta prote,0
UUHH paper copper nanotubes,2
When comes plasticpollution particles size matter Study annual variation,0
Absolutely Especially potential native language involved,2
genome wide association study mathematics ability reveals association chromosome,0
peer review trust,0
call copper nanotube CuNT really,2
dear difficulties finding scientific abbreviations work languages Haha,2
Research News Dietary changes associations metabolic improvements adults Type Diabetes,1
Disposable Disposable Occurrence distribution microplastics sediments Norderney,0
Cognitive ability party identity United States trump,0
This study shows weight loss difficult although better subjects lost months,1
search structure function relationships transition metal based rectifiers,0
eGenVar data management system cataloguing sharing sensitive data Database Journal,0
Electric current induce,0
podemos empezarle beneficio duda mejor forma suero leche Mtro saludos,0
Sorry name taken,2
obesity adolescence population based cross sectional study What already known about obesity,0
What long term health consequences eating junk food puberty nutrition foodsafety teens,1
Actually journal Intelligence great study volume great place start,2
hcsm,0
phosphatidylserine caffeine never stacked together study looks,1
semantic measures library toolkit fast computation semantic similarity relatedness using biomedi,0
still Difficulties finding scientific abbreviations work languages,2
Great online reference Radiology Gamuts Ontology Differential Diagnosis SemanticWeb,1
Study Carb Diet High Bean Diet Benefit Health Weight More food health,1
Influence electron phonon interactions switchable Kondo resonance single molecule junctions Suggestion,0
investi,0
Study High Protein Meat Vegetarian Diets Satisfy Hunger More food health,0
Study eating brown rice instead white helped glucose fasting insulin responses overweight Indians,1
CuNTs submitted Sybertron,2
Polybromind diphenyl ethers fish tissue indicator plastic contamination marine habitats,0
words Structural electronic properties chiral single wall copper nanot,0
Whoever came abbreviation Copper Nanotubes genius,2
open access till january expertsystems bioinformatics,1
Remember kids always someone proofread abstract awkward acronyms,2
Structured weightloss plan Behavioural counselling lead improved cardiometabolic outcomes,1
tweeted article past Physics,1
Ping high protein diet glycemic diet prevents weight regain,1
wouldn take kids along present RealTimeChem,2
Increased intake carbohydrates sources higher glycem PubMed NCBI,0
marinedebris marinelitter,0
Happy International Women,2
tweeted article past week Physics,1
dear difficulties finding scientific abbreviations work languages,2
Genetic susceptibility factors vaccine ADEs tested cases based classes case study,1
effects Beta glucan rich bread serum nitric oxide vascular endothelial function patients,0
